INCIDENT_NUMBER,OFFENSE_CODE,OFFENSE_CODE_GROUP,DISTRICT,REPORTING_AREA,YEAR,MONTH,DAY_OF_WEEK,HOUR,UCR_PART,STREET,SHOOTING
1,1102,Fraud,D4,619,2015,12,Sunday,14,Part Two,WESTLAND AVE,N
2,619,Larceny,D4,619,2015,12,Sunday,14,Part One,WESTLAND AVE,N
3,1107,Fraud,E18,486,2015,7,Wednesday,12,Part Two,OAKCREST RD,N
4,1107,Fraud,C6,226,2015,11,Thursday,8,Part Two,E FOURTH ST,N
5,2647,Other,D4,129,2015,10,Saturday,13,Part Two,BERKELEY ST,N
6,1102,Fraud,D14,791,2015,9,Tuesday,11,Part Two,ALLSTON ST,N
7,3201,Property Lost,C11,366,2015,8,Thursday,8,Part Three,EDWIN ST,N
8,1102,Fraud,C11,450,2015,10,Wednesday,12,Part Two,WASHINGTON ST,N
9,1102,Fraud,C11,352,2015,8,Saturday,6,Part Two,DITSON ST,N
10,1107,Fraud,A1,122,2015,8,Saturday,15,Part Two,WASHINGTON ST,N
11,1107,Fraud,, ,2015,7,Wednesday,24,Part Two,COBDEN,N
12,735,Auto Theft Recovery,C11,385,2015,11,Sunday,11,Other,HALLET ST,N
13,1102,Fraud,C11,345,2015,12,Monday,4,Part Two,DRAPER ST,N
14,1107,Fraud,A7,20,2015,7,Wednesday,8,Part Two,PARIS ST,N
15,1102,Fraud,C11,342,2015,9,Tuesday,24,Part Two,TOPLIFF ST,N
16,1102,Fraud,C11,365,2015,9,Thursday,9,Part Two,SEMONT RD,N
17,615,Larceny From Motor Vehicle,C11,366,2015,10,Thursday,8,Part One,EDWIN ST,N
18,3115,Investigate Person,D14,775,2015,7,Wednesday,24,Part Three,WALLINGFORD RD,N
19,1102,Fraud,A1,101,2015,8,Friday,9,Part Two,BROAD ST,N
20,1102,Fraud,D4,165,2015,10,Thursday,24,Part Two,ALBANY ST,N
21,1102,Fraud,C11,346,2015,12,Tuesday,9,Part Two,JULIETTE ST,N
22,1107,Fraud,B3,469,2015,9,Sunday,15,Part Two,COLORADO ST,N
23,3110,Police Service Incidents,E5,552,2015,9,Tuesday,12,Part Three,DENTON TER,N
24,619,Larceny,E5,723,2015,9,Tuesday,24,Part One,VFW PKWY,N
25,1102,Fraud,B2,315,2015,9,Wednesday,9,Part Two,WAUMBECK ST,N
26,1102,Fraud,B3,565,2015,10,Saturday,9,Part Two,SENATOR BOLLING CIR,N
27,1102,Fraud,D4,170,2015,8,Thursday,9,Part Two,E SPRINGFIELD ST,N
28,1102,Fraud,B2,258,2015,7,Saturday,2,Part Two,MONADNOCK ST,N
29,1102,Fraud,E18,520,2015,10,Thursday,9,Part Two,HYDE PARK AVE,N
30,1102,Fraud,E18,478,2015,8,Monday,24,Part Two,SEMINOLE ST,N
31,1102,Fraud,E18,498,2015,11,Wednesday,9,Part Two,CLARE AVE,N
32,1102,Fraud,A1,92,2015,10,Tuesday,12,Part Two,COURT ST,N
33,1109,Fraud,B2,311,2015,11,Thursday,12,Part Two,BLUE HILL AVE,N
34,3125,Warrant Arrests,A1,111,2015,11,Thursday,24,Part Three,TREMONT ST,N
35,3201,Property Lost,A1,86,2015,7,Tuesday,24,Part Three,COOPER ST,N
36,724,Auto Theft,C11,401,2015,11,Sunday,18,Part One,TALBOT AVE,N
37,1106,Confidence Games,A7,30,2015,7,Wednesday,24,Part Two,COTTAGE ST,N
38,2629,Harassment,C11,397,2015,6,Monday,24,Part Two,MELBOURNE ST,N
39,619,Larceny,A1,116,2015,7,Thursday,24,Part One,LINCOLN ST,N
40,1102,Fraud,B3,433,2015,9,Monday,12,Part Two,EVANS ST,N
41,619,Larceny,A1,112,2015,11,Sunday,14,Part One,CHAUNCY ST,N
42,1107,Fraud,B2,292,2015,8,Saturday,12,Part Two,JOHN ELIOT SQ,N
43,2629,Harassment,B3,469,2015,9,Tuesday,7,Part Two,COLORADO ST,N
44,3201,Property Lost,D14,795,2015,9,Friday,12,Part Three,COMMONWEALTH AVE,N
45,1102,Fraud,B3,456,2015,8,Saturday,9,Part Two,GREENWOOD ST,N
46,619,Larceny,C11,395,2015,12,Sunday,24,Part One,DORCHESTER AVE,N
47,3115,Investigate Person,C11,395,2015,12,Sunday,24,Part Three,DORCHESTER AVE,N
48,1102,Fraud,C11,347,2015,9,Tuesday,24,Part Two,WILKINSON PARK,N
49,1106,Confidence Games,B3,449,2015,7,Wednesday,24,Part Two,SPENCER ST,N
50,2007,Restraining Order Violations,B3,449,2015,7,Wednesday,24,Part Two,SPENCER ST,N
51,2629,Harassment,D14,924,2015,11,Sunday,24,Part Two,WASHINGTON ST,N
52,1102,Fraud,E5,552,2015,11,Sunday,24,Part Two,WELLSMERE RD,N
53,617,Larceny,E18,519,2015,12,Tuesday,19,Part One,PIERCE ST,N
54,2647,Other,B2,301,2015,12,Tuesday,12,Part Two,HIGHLAND ST,N
55,1102,Fraud,C11,249,2015,8,Thursday,9,Part Two,SAGAMORE ST,N
56,3201,Property Lost,C6,177,2015,8,Saturday,12,Part Three,NEW SUDBURY ST,N
57,2647,Other,B3,468,2015,12,Tuesday,24,Part Two,HAZLETON ST,N
58,1102,Fraud,E18,492,2015,7,Wednesday,9,Part Two,HUNTINGTON AVE,N
59,1108,Fraud,C6,914,2015,8,Thursday,13,Part Two,MONSIGNOR DENNIS F O'CALL,N
60,3207,Property Found,E5,695,2015,11,Sunday,24,Part Three,CENTRE ST,N
61,619,Larceny,A7,28,2015,12,Tuesday,24,Part One,PARIS ST,N
62,1106,Confidence Games,D4,285,2015,12,Tuesday,24,Part Two,TREMONT ST,N
63,2629,Harassment,D14,796,2015,9,Thursday,9,Part Two,COMMONWEALTH AVE,N
64,2629,Harassment,D4,284,2015,12,Tuesday,24,Part Two,MASSACHUSETTS AVE,N
65,1107,Fraud,D4,169,2015,12,Tuesday,12,Part Two,E NEWTON ST,N
66,1107,Fraud,B2,320,2015,12,Monday,13,Part Two,CHENEY ST,N
67,3115,Investigate Person,D4,158,2015,11,Saturday,24,Part Three,AGUADILLA ST,N
68,1107,Fraud,E5,685,2015,12,Tuesday,24,Part Two,WASHINGTON ST,N
69,1102,Fraud,D4,145,2015,10,Thursday,9,Part Two,SAINT BOTOLPH ST,N
70,1102,Fraud,E18, ,2015,12,Thursday,24,Part Two,CUMMINS HWY,N
71,361,Robbery,C11,344,2015,12,Tuesday,22,Part One,WESTVILLE ST,N
72,1102,Fraud,C6,914,2015,10,Thursday,12,Part Two,GENERAL LAWRENCE J LOGAN ,N
73,1107,Fraud,A1,104,2015,12,Saturday,15,Part Two,WASHINGTON ST,N
